Time,KOR
1992/01,"176,560.30"
1992/02,"177,520.60"
1992/03,"181,428.90"
1992/04,"184,184.60"
1992/05,"187,509.40"
1992/06,"188,854.40"
1992/07,"192,509.80"
1992/08,"195,100.70"
1992/09,"198,460.20"
1992/10,"202,247.80"
1992/11,"207,187.80"
1992/12,"208,878.60"
1993/01,"213,006.10"
1993/02,"217,857.70"
1993/03,"220,610.10"
1993/04,"223,266.40"
1993/05,"226,957.40"
1993/06,"229,326.90"
1993/07,"233,371.10"
1993/08,"238,750.40"
1993/09,"240,657.00"
1993/10,"241,179.70"
1993/11,"245,268.00"
1993/12,"245,569.40"
1994/01,"250,986.60"
1994/02,"255,604.00"
1994/03,"261,728.00"
1994/04,"267,109.10"
1994/05,"272,432.60"
1994/06,"276,755.90"
1994/07,"282,332.30"
1994/08,"283,814.40"
1994/09,"286,946.80"
1994/10,"289,767.20"
1994/11,"294,685.30"
1994/12,"297,561.60"
1995/01,"302,613.10"
1995/02,"302,288.60"
1995/03,"310,961.30"
1995/04,"318,013.50"
1995/05,"323,617.50"
1995/06,"329,349.70"
1995/07,"334,995.00"
1995/08,"340,586.30"
1995/09,"345,439.40"
1995/10,"351,291.10"
1995/11,"361,169.60"
1995/12,"366,621.60"
1996/01,"368,750.40"
1996/02,"372,362.20"
1996/03,"382,131.10"
1996/04,"388,197.30"
1996/05,"393,810.80"
1996/06,"400,530.70"
1996/07,"404,666.10"
1996/08,"410,169.20"
1996/09,"414,432.90"
1996/10,"417,396.20"
1996/11,"424,143.30"
1996/12,"428,974.20"
1997/01,"435,847.30"
1997/02,"441,350.70"
1997/03,"447,989.70"
1997/04,"452,030.10"
1997/05,"461,510.10"
1997/06,"471,436.50"
1997/07,"479,701.20"
1997/08,"485,015.20"
1997/09,"490,967.10"
1997/10,"500,745.70"
1997/11,"509,093.20"
1997/12,"514,939.40"
1998/01,"541,892.10"
1998/02,"553,911.20"
1998/03,"558,275.00"
1998/04,"575,766.80"
1998/05,"584,558.90"
1998/06,"587,501.00"
1998/07,"609,758.40"
1998/08,"620,688.80"
1998/09,"621,343.90"
1998/10,"634,485.90"
1998/11,"641,618.40"
1998/12,"636,762.40"
1999/01,"659,275.20"
1999/02,"668,675.30"
1999/03,"664,618.60"
1999/04,"674,992.80"
1999/05,"681,991.90"
